CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
BANYUMAS,3302,31.52,18.65,29.63,10.1,14.21,32.59,39.42
PURBALINGGA,3303,27.51,20.48,32.37,9.54,13.89,34.1,41.49
BANJARNEGARA,3304,40.19,13.72,24.81,8.4,17.15,30.44,32.78
KEBUMEN,3305,30.02,25.27,20.64,10.75,17.11,42.22,31.1
PURWOREJO,3306,41.6,12.47,22.79,10.6,15.65,27.76,33.01
WONOSOBO,3307,39.06,16.05,23.71,9.96,15.26,31.1,33.62
MAGELANG,3308,27.61,21.09,32.62,8.35,14.62,35.28,40.47
BOYOLALI,3309,30.51,14.5,33.88,8.45,16.15,30.65,41.98
KLATEN,3310,23.19,18.15,37.21,11.95,13.1,30.84,48.98
SUKOHARJO,3311,27.9,18.85,32.03,13.05,11.87,30.65,44.72
WONOGIRI,3312,48.38,16.99,19.09,8.68,10.34,27.3,27.66
KARANGANYAR,3313,33.53,17.53,28.15,12.61,11.71,29.02,40.31
SRAGEN,3314,37.78,14.56,23.95,7.66,18.78,33.35,31.56
GROBOGAN,3315,29.1,11.39,21.9,9.54,31.7,42.84,31.13
BLORA,3316,33.49,13.2,16.58,8.39,31.88,44.78,24.78
REMBANG,3317,35.86,13.85,13.95,15.18,25.12,38.53,28.61
PATI,3318,38.92,10.77,22.6,15.69,14.43,25.1,38.03
KUDUS,3319,21.16,18.76,36.74,12.83,14.21,32.89,49.18
JEPARA,3320,26.45,19.36,21.62,20.35,16.36,35.53,41.57
DEMAK,3321,21.79,15.15,23.13,14.94,28.29,43.14,37.82
SEMARANG,3322,25.63,20.61,30.93,11.81,15.19,35.39,42.32
TEMANGGUNG,3323,29.89,17.62,28.67,9.31,18,35.26,37.61
KENDAL,3324,23.85,29.71,16.77,17.02,16.74,45.78,33.63
BATANG,3325,33.4,20.42,34.71,7,8.07,28.5,41.71
PEKALONGAN,3326,23.35,18.02,44.78,8.77,8.81,26.68,53.43
PEMALANG,3327,27.17,31.69,22.25,11.54,11.71,43.05,33.64
TEGAL,3328,22.71,29.32,25.28,12.31,15.17,44.16,37.23
BREBES,3329,17.4,33.15,31.08,10.62,11.7,44.44,41.38
KOTA MAGELANG,3371,25.59,19.11,38.67,10.12,11.28,30.06,48.43
KOTA SURAKARTA,3372,32.26,17.32,27.82,16.71,10.52,27.75,43.85
KOTA SALATIGA,3373,27.09,20.62,32.41,11.94,11.05,31.11,44.78
KOTA SEMARANG,3374,30.86,16.41,21.42,19.32,16.28,32.42,40.35
KOTA PEKALONGAN,3375,18.81,25.86,40.36,12.38,7.32,33.01,52.15
KOTA TEGAL,3376,21.82,28.57,24.15,19.39,10.79,38.88,43.26
KULON PROGO,3401,33.16,20.67,24.71,9.58,15.69,35.21,34.17
BANTUL,3402,28.5,18.45,20.04,22.75,14.38,32.56,42.33
GUNUNG KIDUL,3403,30.88,26.74,17.6,9.17,19.57,46.11,26.5
SLEMAN,3404,36.9,19.22,20.46,16.4,11.35,30.28,36.5
KOTA YOGYAKARTA,3471,32.61,19.08,19.81,21.62,11.28,30.21,41.1
PACITAN,3501,46.96,41.11,7.18,4.07,3.71,44.71,11.31
PONOROGO,3502,43.56,17.45,23.09,9.98,8.3,25.5,32.73
TRENGGALEK,3503,61.84,18.55,15.77,3.6,1.87,20.38,19.29
TULUNGAGUNG,3504,35.27,13.67,43.35,7.15,2.64,16.32,50.18
BLITAR,3505,24.44,8.67,61.6,4.15,3.1,11.82,65.47
